Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N75	L50	L75	# N's per 100 kbp
211820.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.08	29884	29884	1	1	19582.39
211821.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	38.04	29903	29903	1	1	13296.32
211822.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	37.98	29903	29903	1	1	14165.80
211824.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	37.92	29903	29903	1	1	2153.63
211825.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.04	29884	29884	1	1	4821.98
211827.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	38.00	29903	29903	1	1	5273.72
211829.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	38.00	29903	29903	1	1	5210.18
211830.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	38.08	29903	29903	1	1	17008.33
211831.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	38.00	29903	29903	1	1	7587.87
211841.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.98	29884	29884	1	1	495.25
211843.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.06	29884	29884	1	1	11347.21
211845.consensus	1	1	1	1	1	0	29887	29887	29887	29887	29887	0	1	29887	29887	38.06	29887	29887	1	1	7464.78
211850.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.00	29884	29884	1	1	5407.58
211852.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.03	29884	29884	1	1	9583.72
211853.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.04	29884	29884	1	1	5394.19
211854.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	38.02	29903	29903	1	1	7651.41
211856.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	38.11	29903	29903	1	1	16670.57
211857.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	37.98	29903	29903	1	1	6176.64
211858.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	38.12	29903	29903	1	1	16513.39
211859.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	38.10	29903	29903	1	1	5688.39
211862.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	38.03	29903	29903	1	1	18529.91
211864.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	38.07	29903	29903	1	1	6865.53
211866.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	38.13	29903	29903	1	1	13209.38
211869.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.97	29884	29884	1	1	1151.12
211870.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.95	29884	29884	1	1	1596.17
211872.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.95	29884	29884	1	1	1987.69
211874.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.97	29884	29884	1	1	5203.45
211877.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.98	29884	29884	1	1	237.59
211882.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	37.96	29903	29903	1	1	404.64
211883.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.95	29884	29884	1	1	977.11
211885.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.97	29884	29884	1	1	3714.36
211886.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.92	29884	29884	1	1	3322.85
211887.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.98	29884	29884	1	1	224.20
211889.consensus	1	1	1	1	1	0	29887	29887	29887	29887	29887	0	1	29887	29887	37.92	29887	29887	1	1	2596.45
211891.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.00	29884	29884	1	1	14131.31
211892.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.93	29884	29884	1	1	776.34
211898.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.95	29884	29884	1	1	1599.52
211899.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.95	29884	29884	1	1	5832.55
211906.consensus	1	1	1	1	1	0	29902	29902	29902	29902	29902	0	1	29902	29902	38.11	29902	29902	1	1	11015.99
211907.consensus	1	1	1	1	1	0	29902	29902	29902	29902	29902	0	1	29902	29902	37.96	29902	29902	1	1	8815.46
211908.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	38.10	29903	29903	1	1	13684.25
211909.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	37.73	29903	29903	1	1	20663.48
211910.consensus	1	1	1	1	1	0	29894	29894	29894	29894	29894	0	1	29894	29894	37.99	29894	29894	1	1	2592.49
211911.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	37.97	29903	29903	1	1	3103.37
211912.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	37.80	29903	29903	1	1	20335.75
211913.consensus	1	1	1	1	1	0	29894	29894	29894	29894	29894	0	1	29894	29894	38.01	29894	29894	1	1	2632.64
211914.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	38.06	29903	29903	1	1	23703.31
211915.consensus	1	1	1	1	1	0	29898	29898	29898	29898	29898	0	1	29898	29898	38.16	29898	29898	1	1	13338.68
211916.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.07	29884	29884	1	1	7254.72
211917.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	37.94	29903	29903	1	1	2993.01
211918.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	37.97	29903	29903	1	1	8704.81
211920.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	37.91	29903	29903	1	1	4220.31
211921.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	38.09	29903	29903	1	1	17011.67
211922.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	38.23	29903	29903	1	1	24870.41
211923.consensus	1	1	1	1	1	0	29900	29900	29900	29900	29900	0	1	29900	29900	38.07	29900	29900	1	1	11290.97
211926.consensus	1	1	1	1	1	0	29883	29883	29883	29883	29883	0	1	29883	29883	38.16	29883	29883	1	1	21493.83
211930.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.00	29884	29884	1	1	9874.85
211944.consensus	1	1	1	1	1	0	29887	29887	29887	29887	29887	0	1	29887	29887	38.13	29887	29887	1	1	11834.58
211950.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.71	29884	29884	1	1	21493.11
211951.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.95	29884	29884	1	1	977.11
211952.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.98	29884	29884	1	1	756.26
211953.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.89	29884	29884	1	1	3463.39
211955.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.96	29884	29884	1	1	9178.82
211956.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.90	29884	29884	1	1	5598.31
211957.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.96	29884	29884	1	1	856.65
211958.consensus	1	1	1	1	1	0	29887	29887	29887	29887	29887	0	1	29887	29887	37.95	29887	29887	1	1	8197.54
211959.consensus	1	1	1	1	1	0	29893	29893	29893	29893	29893	0	1	29893	29893	37.90	29893	29893	1	1	45365.14
211960.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.71	29884	29884	1	1	11962.92
211961.consensus	1	1	1	1	1	0	29887	29887	29887	29887	29887	0	1	29887	29887	37.96	29887	29887	1	1	980.36
211962.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.92	29884	29884	1	1	4206.26
211963.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.94	29884	29884	1	1	977.11
211965.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.89	29884	29884	1	1	6170.53
211966.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.94	29884	29884	1	1	1458.97
211972.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.16	29884	29884	1	1	15844.60
211974.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.98	29884	29884	1	1	3660.82
211978.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	38.44	29903	29903	1	1	28712.84
211992.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.09	29884	29884	1	1	19378.26
212001.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.97	29884	29884	1	1	6207.34
212018.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.06	29884	29884	1	1	8867.62
212033.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	38.25	29903	29903	1	1	33080.29
212034.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.19	29884	29884	1	1	21667.11
212037.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.95	29884	29884	1	1	5103.07
212038.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.02	29884	29884	1	1	13639.41
212039.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	38.08	29903	29903	1	1	13373.24
212048.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	38.17	29903	29903	1	1	17392.90
212050.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.87	29884	29884	1	1	18906.44
212053.consensus	1	1	1	1	1	0	29897	29897	29897	29897	29897	0	1	29897	29897	38.12	29897	29897	1	1	11211.83
212054.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	38.03	29903	29903	1	1	9015.82
212055.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	38.14	29903	29903	1	1	8768.35
212056.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	38.15	29903	29903	1	1	15326.22
212057.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.00	29884	29884	1	1	6689.20
212058.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.99	29884	29884	1	1	5119.80
212062.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.09	29884	29884	1	1	10734.84
212063.consensus	1	1	1	1	1	0	29887	29887	29887	29887	29887	0	1	29887	29887	38.03	29887	29887	1	1	8103.86
212064.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.01	29884	29884	1	1	8425.91
212068.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.01	29884	29884	1	1	4206.26
212069.consensus	1	1	1	1	1	0	29887	29887	29887	29887	29887	0	1	29887	29887	38.05	29887	29887	1	1	15237.39
212071.consensus	1	1	1	1	1	0	29896	29896	29896	29896	29896	0	1	29896	29896	38.53	29896	29896	1	1	35837.57
212074.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.95	29884	29884	1	1	4266.50
212075.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.15	29884	29884	1	1	14529.51
212107.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.07	29884	29884	1	1	16761.48
212108.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.05	29884	29884	1	1	10222.86
212110.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.13	29884	29884	1	1	12648.91
212111.consensus	1	1	1	1	1	0	29887	29887	29887	29887	29887	0	1	29887	29887	37.98	29887	29887	1	1	5005.52
212112.consensus	1	1	1	1	1	0	29906	29906	29906	29906	29906	0	1	29906	29906	38.16	29906	29906	1	1	14281.42
212113.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	38.13	29903	29903	1	1	10681.20
212120.consensus	1	1	1	1	1	0	29893	29893	29893	29893	29893	0	1	29893	29893	38.13	29893	29893	1	1	18776.97
212396.consensus	1	1	1	1	1	0	29902	29902	29902	29902	29902	0	1	29902	29902	37.97	29902	29902	1	1	4625.11
212398.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	38.11	29903	29903	1	1	13801.29
212402.consensus	1	1	1	1	1	0	29902	29902	29902	29902	29902	0	1	29902	29902	38.02	29902	29902	1	1	5842.42
212405.consensus	1	1	1	1	1	0	29893	29893	29893	29893	29893	0	1	29893	29893	38.01	29893	29893	1	1	12096.48
212407.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.00	29884	29884	1	1	3162.23
212408.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	38.11	29903	29903	1	1	7842.02
212409.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.00	29884	29884	1	1	6993.71
212410.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.98	29884	29884	1	1	5605.01
212411.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.95	29884	29884	1	1	977.11
212412.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.99	29884	29884	1	1	5949.67
212413.consensus	1	1	1	1	1	0	29902	29902	29902	29902	29902	0	1	29902	29902	37.99	29902	29902	1	1	8939.20
212414.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.12	29884	29884	1	1	9142.02
212417.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.97	29884	29884	1	1	5722.13
212422.consensus	1	1	1	1	1	0	29887	29887	29887	29887	29887	0	1	29887	29887	38.15	29887	29887	1	1	17084.35
212437.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.00	29884	29884	1	1	7201.18
212439.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.04	29884	29884	1	1	9466.60
212446.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	38.28	29903	29903	1	1	15617.16
212453.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	38.17	29903	29903	1	1	13279.60
212454.consensus	1	1	1	1	1	0	29887	29887	29887	29887	29887	0	1	29887	29887	38.17	29887	29887	1	1	15200.59
212456.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.12	29884	29884	1	1	15422.97
212457.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.09	29884	29884	1	1	15513.32
212458.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	38.08	29903	29903	1	1	8898.77
212459.consensus	1	1	1	1	1	0	29902	29902	29902	29902	29902	0	1	29902	29902	38.13	29902	29902	1	1	18022.21
212460.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	38.08	29903	29903	1	1	16279.30
212461.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.00	29884	29884	1	1	14245.08
212463.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	37.99	29903	29903	1	1	3655.15
212464.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.05	29884	29884	1	1	7857.05
212465.consensus	1	1	1	1	1	0	29893	29893	29893	29893	29893	0	1	29893	29893	38.11	29893	29893	1	1	15980.33
212471.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.93	29884	29884	1	1	3660.82
212472.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.98	29884	29884	1	1	2503.01
212475.consensus	1	1	1	1	1	0	29887	29887	29887	29887	29887	0	1	29887	29887	38.14	29887	29887	1	1	17960.99
212478.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.09	29884	29884	1	1	12776.07
212479.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.05	29884	29884	1	1	6873.24
212480.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.14	29884	29884	1	1	12334.36
212481.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.23	29884	29884	1	1	15469.82
212482.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.12	29884	29884	1	1	13562.44
212483.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.98	29884	29884	1	1	5481.19
212484.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.22	29884	29884	1	1	16855.17
212485.consensus	1	1	1	1	1	0	29902	29902	29902	29902	29902	0	1	29902	29902	38.11	29902	29902	1	1	10912.31
212489.consensus	1	1	1	1	1	0	29887	29887	29887	29887	29887	0	1	29887	29887	38.15	29887	29887	1	1	11389.57
212490.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.27	29884	29884	1	1	20117.79
212495.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.00	29884	29884	1	1	5738.86
212501.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.95	29884	29884	1	1	2021.15
212502.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.95	29884	29884	1	1	3670.86
212506.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.95	29884	29884	1	1	2653.59
212508.consensus	1	1	1	1	1	0	29893	29893	29893	29893	29893	0	1	29893	29893	38.05	29893	29893	1	1	11745.22
212510.consensus	1	1	1	1	1	0	29902	29902	29902	29902	29902	0	1	29902	29902	39.41	29902	29902	1	1	70971.84
212512.consensus	1	1	1	1	1	0	29893	29893	29893	29893	29893	0	1	29893	29893	39.03	29893	29893	1	1	61362.19
212513.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.06	29884	29884	1	1	4122.61
212514.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.03	29884	29884	1	1	17450.81
212515.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.10	29884	29884	1	1	20810.47
212517.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.03	29884	29884	1	1	4427.12
212519.consensus	1	1	1	1	1	0	29902	29902	29902	29902	29902	0	1	29902	29902	40.33	29902	29902	1	1	80058.19
212522.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.15	29884	29884	1	1	13716.37
212523.consensus	1	1	1	1	1	0	29887	29887	29887	29887	29887	0	1	29887	29887	38.16	29887	29887	1	1	29839.06
212524.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.96	29884	29884	1	1	2526.44
212525.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.95	29884	29884	1	1	2168.38
212526.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.01	29884	29884	1	1	8335.56
212528.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.95	29884	29884	1	1	1027.31
212530.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.08	29884	29884	1	1	15911.52
212531.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.03	29884	29884	1	1	12705.80
212532.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.92	29884	29884	1	1	3627.36
212536.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.07	29884	29884	1	1	13595.90
212537.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.02	29884	29884	1	1	8241.87
212538.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	37.96	29903	29903	1	1	1725.58
212539.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.04	29884	29884	1	1	6193.95
212540.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.06	29884	29884	1	1	6873.24
212541.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.90	29884	29884	1	1	5009.37
212542.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.99	29884	29884	1	1	441.71
212571.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.87	29884	29884	1	1	17266.76
212572.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	37.99	29903	29903	1	1	224.06
212573.consensus	1	1	1	1	1	0	29894	29894	29894	29894	29894	0	1	29894	29894	38.01	29894	29894	1	1	14474.48
212576.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	38.19	29903	29903	1	1	15065.38
212577.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	38.02	29903	29903	1	1	8805.14
212580.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.07	29884	29884	1	1	5574.89
212585.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.94	29884	29884	1	1	2392.58
212586.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	37.97	29903	29903	1	1	6377.29
212587.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.99	29884	29884	1	1	6709.28
212588.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	37.93	29903	29903	1	1	3835.74
212590.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.92	29884	29884	1	1	7428.72
212593.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	37.98	29903	29903	1	1	3076.61
212595.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.03	29884	29884	1	1	6572.08
212598.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	37.94	29903	29903	1	1	1959.67
212599.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.96	29884	29884	1	1	4397.00
212600.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.94	29884	29884	1	1	977.11
212602.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.04	29884	29884	1	1	4935.75
212603.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.91	29884	29884	1	1	1689.87
212604.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.94	29884	29884	1	1	3061.84
212605.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.98	29884	29884	1	1	4557.62
212606.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.94	29884	29884	1	1	3055.15
212610.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.94	29884	29884	1	1	2339.04
212611.consensus	1	1	1	1	1	0	29902	29902	29902	29902	29902	0	1	29902	29902	38.10	29902	29902	1	1	11765.10
212612.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.08	29884	29884	1	1	7087.40
212613.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.14	29884	29884	1	1	17511.04
212615.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.19	29884	29884	1	1	14894.26
212616.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	38.01	29903	29903	1	1	6999.30
212620.consensus	1	1	1	1	1	0	29887	29887	29887	29887	29887	0	1	29887	29887	38.05	29887	29887	1	1	11928.26
212621.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	37.98	29903	29903	1	1	2427.85
212622.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.96	29884	29884	1	1	4611.16
212625.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.94	29884	29884	1	1	1612.90
212628.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	38.04	29903	29903	1	1	6196.70
212648.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.98	29884	29884	1	1	6836.43
212650.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.00	29884	29884	1	1	4202.92
212651.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.96	29884	29884	1	1	7529.11
212652.consensus	1	1	1	1	1	0	29893	29893	29893	29893	29893	0	1	29893	29893	38.01	29893	29893	1	1	17683.07
212655.consensus	1	1	1	1	1	0	29902	29902	29902	29902	29902	0	1	29902	29902	38.03	29902	29902	1	1	10340.45
212656.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	37.96	29884	29884	1	1	3463.39
212671.consensus	1	1	1	1	1	0	29893	29893	29893	29893	29893	0	1	29893	29893	38.06	29893	29893	1	1	7904.86
212673.consensus	1	1	1	1	1	0	29903	29903	29903	29903	29903	0	1	29903	29903	37.99	29903	29903	1	1	414.67
212675.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.11	29884	29884	1	1	17885.83
212678.consensus	1	1	1	1	1	0	29884	29884	29884	29884	29884	0	1	29884	29884	38.06	29884	29884	1	1	7900.55
